Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2023-20120,2023-03-29,2023-04-02,First Class,CUS-EE-10005,Adrian Barton,Corporate,Charlotte,North Carolina,United States,59751,South,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Chair,2800.0,8,0.0,700.0
2,CA-2023-10302,2023-10-15,2023-10-16,First Class,CUS-MM-10013,Lycoris Saunders,Corporate,Denver,Colorado,United States,43119,West,OFF-ST-10000107,Office Supplies,Storage,Stur-D-Stor Heavy Duty Shelving,1826.0,11,0.0,328.68
3,CA-2023-10262,2023-05-06,2023-05-10,Second Class,CUS-JJ-10010,Seth Vernon,Corporate,Phoenix,Arizona,United States,17398,West,OFF-EN-10003611,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,32.4,4,0.1,3.24
4,CA-2023-20144,2023-06-28,2023-07-02,Second Class,CUS-ZC-10028,James Wilson,Corporate,Columbus,Ohio,United States,58895,Central,TEC-CO-10003740,Technology,Copiers,Canon PC940 Color Copier,5760.0,8,0.1,921.6
5,CA-2022-10451,2022-03-27,2022-04-02,Standard Class,CUS-ZE-10030,Robert Garcia,Home Office,Seattle,Washington,United States,87430,West,TEC-AC-10000171,Technology,Accessories,Plantronics Savi Wireless Headset,366.0,2,0.0,80.52
6,CA-2021-10140,2021-05-21,2021-05-24,Second Class,CUS-FF-10006,Ken Lonsdale,Home Office,Philadelphia,Pennsylvania,United States,22999,East,OFF-FA-10004848,Office Supplies,Fasteners,Advantus Map Pins Pack,54.0,9,0.0,12.96
7,CA-2022-20154,2022-10-28,2022-11-01,First Class,CUS-II-10009,Bill Eplett,Home Office,Houston,Texas,United States,80479,Central,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Chair,1750.0,5,0.0,437.5
8,CA-2022-10515,2022-03-10,2022-03-11,Second Class,CUS-ZT-10045,Angela Lewis,Consumer,Phoenix,Arizona,United States,33597,West,TEC-CO-10004722,Technology,Copiers,Sharp AL-1530CS Digital Copier,6600.0,3,0.0,1980.0
9,CA-2023-10630,2023-12-20,2023-12-22,Standard Class,CUS-II-10009,Bill Eplett,Home Office,Portland,Oregon,United States,92818,West,TEC-PH-10001215,Technology,Phones,Motorola Edge Plus 5G,7700.0,14,0.0,1078.0
10,CA-2021-10141,2021-10-28,2021-10-30,Second Class,CUS-FF-10006,Ken Lonsdale,Home Office,Philadelphia,Pennsylvania,United States,69441,East,OFF-ST-10000107,Office Supplies,Storage,Stur-D-Stor Heavy Duty Shelving,1162.0,7,0.0,209.16
11,CA-2024-10432,2024-09-28,2024-09-29,Standard Class,CUS-XX-10024,Dean Nguyen,Home Office,Dallas,Texas,United States,84632,Central,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chair,1260.0,6,0.0,277.2
12,CA-2022-10257,2022-11-12,2022-11-13,Same Day,CUS-JJ-10010,Seth Vernon,Corporate,Phoenix,Arizona,United States,96742,West,OFF-PA-10002365,Office Supplies,Paper,Hammermill CopyPlus Paper Ream,74.0,2,0.0,17.76
13,CA-2023-10207,2023-09-03,2023-09-07,Second Class,CUS-HH-10008,Hunter Lopez,Consumer,Boston,Massachusetts,United States,68979,East,TEC-AC-10000171,Technology,Accessories,Plantronics Savi Wireless Headset,1098.0,6,0.0,241.56
14,CA-2024-20272,2024-04-26,2024-05-01,Standard Class,CUS-PP-10016,Dave Brooks,Corporate,Columbus,Ohio,United States,44139,Central,FUR-CH-10002774,Furniture,Chairs,Harbour Creations Executive Chair,4480.0,8,0.0,1254.4
15,CA-2022-20228,2022-06-11,2022-06-17,Second Class,CUS-ZB-10027,Sarah Johnson,Consumer,San Antonio,Texas,United States,97181,Central,TEC-PH-10000486,Technology,Phones,Apple iPhone 14 Pro,1998.0,2,0.0,159.84
16,CA-2024-10360,2024-04-12,2024-04-15,Standard Class,CUS-RR-10018,Linda Cazamias,Consumer,Las Vegas,Nevada,United States,74665,West,TEC-CO-10001449,Technology,Copiers,HP LaserJet Pro 3310,6000.0,6,0.0,1560.0
17,CA-2024-10078,2024-02-13,2024-02-17,Standard Class,CUS-CC-10003,Raymond Buch,Consumer,Portland,Oregon,United States,74332,West,OFF-EN-10003611,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,72.0,8,0.0,15.84
18,CA-2024-10098,2024-11-10,2024-11-14,Second Class,CUS-DD-10004,Tom Ashbrook,Consumer,Milwaukee,Wisconsin,United States,52372,Central,TEC-AC-10003832,Technology,Accessories,Logitech MX Master Wireless Mouse,160.0,2,0.0,44.8
19,CA-2023-10122,2023-01-18,2023-01-20,Second Class,CUS-EE-10005,Adrian Barton,Corporate,Miami,Florida,United States,36318,South,FUR-FU-10001487,Furniture,Furnishings,Deflecto Superior Image Slanted Sign,180.0,12,0.0,18.0
20,CA-2021-20255,2021-06-23,2021-06-29,Same Day,CUS-ZA-10026,Michael Kennedy,Consumer,Las Vegas,Nevada,United States,62495,West,FUR-CH-10002774,Furniture,Chairs,Harbour Creations Executive Chair,2800.0,5,0.0,784.0
21,CA-2022-10333,2022-06-22,2022-06-24,Second Class,CUS-PP-10016,Dave Brooks,Corporate,San Francisco,California,United States,16021,West,TEC-PH-10004977,Technology,Phones,Samsung Galaxy S23 Ultra,8900.1,11,0.1,44.5
22,CA-2024-20118,2024-06-01,2024-06-02,Second Class,CUS-CC-10003,Raymond Buch,Consumer,San Francisco,California,United States,20239,West,FUR-FU-10001487,Furniture,Furnishings,Deflecto Superior Image Slanted Sign,45.0,3,0.0,4.5
23,CA-2022-10065,2022-12-01,2022-12-02,Same Day,CUS-CC-10003,Raymond Buch,Consumer,Portland,Oregon,United States,44099,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Table,8000.0,8,0.0,400.0
24,CA-2023-20190,2023-04-07,2023-04-09,Same Day,CUS-RR-10018,Linda Cazamias,Consumer,San Francisco,California,United States,93298,West,FUR-FU-10003848,Furniture,Furnishings,Howard Miller 11 Diameter Wall Clock,266.0,4,0.3,2.66
25,CA-2022-20217,2022-04-15,2022-04-21,Second Class,CUS-AA-10001,Sean Miller,Corporate,Las Vegas,Nevada,United States,53121,West,TEC-AC-10000171,Technology,Accessories,Plantronics Savi Wireless Headset,1281.0,7,0.0,281.82
26,CA-2022-10556,2022-12-03,2022-12-07,Standard Class,CUS-EE-10005,Adrian Barton,Corporate,Charlotte,North Carolina,United States,13455,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,880.0,8,0.5,-80.34
27,CA-2022-10623,2022-12-16,2022-12-20,Standard Class,CUS-GG-10007,Sanjit Chand,Corporate,Milwaukee,Wisconsin,United States,46452,Central,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,2420.0,11,0.0,435.6
28,CA-2024-10187,2024-02-13,2024-02-16,Second Class,CUS-GG-10007,Sanjit Chand,Corporate,Columbus,Ohio,United States,60709,Central,FUR-BO-10003717,Furniture,Bookcases,Sauder Classic Bookcase,4000.0,8,0.0,800.0
29,CA-2022-20047,2022-11-06,2022-11-12,Same Day,CUS-RR-10018,Linda Cazamias,Consumer,Memphis,Tennessee,United States,69476,South,FUR-FU-10001487,Furniture,Furnishings,Deflecto Superior Image Slanted Sign,60.0,4,0.0,6.0
30,CA-2024-20231,2024-12-04,2024-12-05,Second Class,CUS-ZD-10029,Lisa Davis,Consumer,New York City,New York,United States,18571,East,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Chair,2240.0,8,0.2,201.6
31,CA-2021-20023,2021-07-23,2021-07-24,Standard Class,CUS-BB-10002,Tamara Chand,Corporate,Seattle,Washington,United States,64751,West,TEC-CO-10003740,Technology,Copiers,Canon PC940 Color Copier,4000.0,5,0.0,960.0
32,CA-2021-10137,2021-08-18,2021-08-19,First Class,CUS-FF-10006,Ken Lonsdale,Home Office,Philadelphia,Pennsylvania,United States,96363,East,OFF-EN-10003611,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,8.1,1,0.1,0.81
33,CA-2021-20221,2021-05-30,2021-06-03,Second Class,CUS-PP-10016,Dave Brooks,Corporate,Minneapolis,Minnesota,United States,60504,Central,FUR-CH-10002774,Furniture,Chairs,Harbour Creations Executive Chair,1008.0,2,0.1,201.6
34,CA-2022-10501,2022-10-10,2022-10-16,Standard Class,CUS-ZR-10043,Sandra Clark,Consumer,Detroit,Michigan,United States,35746,Central,TEC-AC-10003832,Technology,Accessories,Logitech MX Master Wireless Mouse,168.0,3,0.3,0.84
35,CA-2023-10336,2023-02-12,2023-02-18,Standard Class,CUS-PP-10016,Dave Brooks,Corporate,San Francisco,California,United States,40689,West,FUR-BO-10003717,Furniture,Bookcases,Sauder Classic Bookcase,5500.0,11,0.0,1100.0
36,CA-2022-10173,2022-04-03,2022-04-04,Same Day,CUS-GG-10007,Sanjit Chand,Corporate,Columbus,Ohio,United States,48770,Central,OFF-EN-10000927,Office Supplies,Envelopes,Poly String Button Envelopes,12.0,3,0.0,2.88
37,CA-2021-10589,2021-12-01,2021-12-05,Second Class,CUS-NN-10014,Helen Andreada,Home Office,Memphis,Tennessee,United States,84044,South,FUR-FU-10003848,Furniture,Furnishings,Howard Miller 11 Diameter Wall Clock,57.0,1,0.4,-3.51
38,CA-2023-20304,2023-07-06,2023-07-09,First Class,CUS-II-10009,Bill Eplett,Home Office,Phoenix,Arizona,United States,37258,West,OFF-PA-10000174,Office Supplies,Paper,Xerox 1881 Copy Paper,58.8,6,0.3,0.59
